R,G,B, Precision, Recall
0.000000000000000000e+00,1.870000000000000000e+02,2.040000000000000000e+02,8.000000000000000444e-01,4.000000000000000222e-01
0.000000000000000000e+00,1.870000000000000000e+02,2.210000000000000000e+02,8.000000000000000444e-01,4.000000000000000222e-01
0.000000000000000000e+00,1.870000000000000000e+02,2.380000000000000000e+02,8.000000000000000444e-01,4.000000000000000222e-01
0.000000000000000000e+00,1.870000000000000000e+02,2.550000000000000000e+02,5.999999999999999778e-01,2.999999999999999889e-01
0.000000000000000000e+00,2.040000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000444e-01
0.000000000000000000e+00,2.040000000000000000e+02,1.700000000000000000e+01,1.000000000000000000e+00,8.000000000000000444e-01
0.000000000000000000e+00,2.040000000000000000e+02,3.400000000000000000e+01,1.000000000000000000e+00,8.000000000000000444e-01
0.000000000000000000e+00,2.040000000000000000e+02,5.100000000000000000e+01,1.000000000000000000e+00,9.000000000000000222e-01
0.000000000000000000e+00,2.040000000000000000e+02,6.800000000000000000e+01,1.000000000000000000e+00,9.000000000000000222e-01
0.000000000000000000e+00,2.040000000000000000e+02,8.500000000000000000e+01,1.000000000000000000e+00,9.000000000000000222e-01
0.000000000000000000e+00,2.040000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,6.999999999999999556e-01
0.000000000000000000e+00,2.040000000000000000e+02,1.190000000000000000e+02,1.000000000000000000e+00,6.999999999999999556e-01
0.000000000000000000e+00,2.040000000000000000e+02,1.360000000000000000e+02,8.571428571428570953e-01,5.999999999999999778e-01
0.000000000000000000e+00,2.040000000000000000e+02,1.530000000000000000e+02,1.000000000000000000e+00,5.999999999999999778e-01
0.000000000000000000e+00,2.040000000000000000e+02,1.700000000000000000e+02,6.666666666666666297e-01,4.000000000000000222e-01
0.000000000000000000e+00,2.040000000000000000e+02,1.870000000000000000e+02,8.000000000000000444e-01,4.000000000000000222e-01
0.000000000000000000e+00,2.040000000000000000e+02,2.040000000000000000e+02,8.000000000000000444e-01,4.000000000000000222e-01
0.000000000000000000e+00,2.040000000000000000e+02,2.210000000000000000e+02,8.000000000000000444e-01,4.000000000000000222e-01
0.000000000000000000e+00,2.040000000000000000e+02,2.380000000000000000e+02,8.000000000000000444e-01,4.000000000000000222e-01
0.000000000000000000e+00,2.040000000000000000e+02,2.550000000000000000e+02,6.666666666666666297e-01,2.000000000000000111e-01
0.000000000000000000e+00,2.210000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000444e-01
0.000000000000000000e+00,2.210000000000000000e+02,1.700000000000000000e+01,1.000000000000000000e+00,8.000000000000000444e-01
0.000000000000000000e+00,2.210000000000000000e+02,3.400000000000000000e+01,1.000000000000000000e+00,9.000000000000000222e-01
0.000000000000000000e+00,2.210000000000000000e+02,5.100000000000000000e+01,1.000000000000000000e+00,9.000000000000000222e-01
0.000000000000000000e+00,2.210000000000000000e+02,6.800000000000000000e+01,1.000000000000000000e+00,9.000000000000000222e-01
0.000000000000000000e+00,2.210000000000000000e+02,8.500000000000000000e+01,1.000000000000000000e+00,9.000000000000000222e-01
0.000000000000000000e+00,2.210000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,9.000000000000000222e-01
0.000000000000000000e+00,2.210000000000000000e+02,1.190000000000000000e+02,1.000000000000000000e+00,6.999999999999999556e-01
0.000000000000000000e+00,2.210000000000000000e+02,1.360000000000000000e+02,8.571428571428570953e-01,5.999999999999999778e-01
0.000000000000000000e+00,2.210000000000000000e+02,1.530000000000000000e+02,1.000000000000000000e+00,5.999999999999999778e-01
0.000000000000000000e+00,2.210000000000000000e+02,1.700000000000000000e+02,1.000000000000000000e+00,5.999999999999999778e-01
0.000000000000000000e+00,2.210000000000000000e+02,1.870000000000000000e+02,6.666666666666666297e-01,4.000000000000000222e-01
0.000000000000000000e+00,2.210000000000000000e+02,2.040000000000000000e+02,8.000000000000000444e-01,4.000000000000000222e-01
0.000000000000000000e+00,2.210000000000000000e+02,2.210000000000000000e+02,8.000000000000000444e-01,4.000000000000000222e-01
0.000000000000000000e+00,2.210000000000000000e+02,2.380000000000000000e+02,8.000000000000000444e-01,4.000000000000000222e-01
0.000000000000000000e+00,2.210000000000000000e+02,2.550000000000000000e+02,1.000000000000000000e+00,4.000000000000000222e-01
0.000000000000000000e+00,2.380000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000444e-01
0.000000000000000000e+00,2.380000000000000000e+02,1.700000000000000000e+01,1.000000000000000000e+00,9.000000000000000222e-01
0.000000000000000000e+00,2.380000000000000000e+02,3.400000000000000000e+01,1.000000000000000000e+00,9.000000000000000222e-01
0.000000000000000000e+00,2.380000000000000000e+02,5.100000000000000000e+01,1.000000000000000000e+00,9.000000000000000222e-01
0.000000000000000000e+00,2.380000000000000000e+02,6.800000000000000000e+01,1.000000000000000000e+00,9.000000000000000222e-01
0.000000000000000000e+00,2.380000000000000000e+02,8.500000000000000000e+01,1.000000000000000000e+00,9.000000000000000222e-01
0.000000000000000000e+00,2.380000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,9.000000000000000222e-01
0.000000000000000000e+00,2.380000000000000000e+02,1.190000000000000000e+02,1.000000000000000000e+00,8.000000000000000444e-01
0.000000000000000000e+00,2.380000000000000000e+02,1.360000000000000000e+02,1.000000000000000000e+00,6.999999999999999556e-01
0.000000000000000000e+00,2.380000000000000000e+02,1.530000000000000000e+02,8.571428571428570953e-01,5.999999999999999778e-01
0.000000000000000000e+00,2.380000000000000000e+02,1.700000000000000000e+02,1.000000000000000000e+00,5.999999999999999778e-01
